ΚΩΔΙΚΟΣ_ΕΞΕΤΑΣΗΣ,ΤΥΠΟΣ,ΚΟΣΤΟΣ
EXM_08483,Υπέρηχος Κοιλίας,168.55
EXM_08484,Ακτινογραφία Θώρακος,97.45
EXM_08485,Ουρία,214.7
EXM_08486,Γενική Αίματος,185.12
EXM_08487,Ακτινογραφία Θώρακος,224.98
EXM_08488,Ηλεκτροκαρδιογράφημα (ΗΚΓ),60.16
EXM_08489,Χοληστερίνη,157.99
EXM_08490,Ουρία,210.61
EXM_08491,Μαγνητική Τομογραφία (MRI),186.49
EXM_08492,Μαγνητική Τομογραφία (MRI),53.14
EXM_08493,Ηλεκτροκαρδιογράφημα (ΗΚΓ),236.96
EXM_08494,Ακτινογραφία Θώρακος,213.58
EXM_08495,Ακτινογραφία Θώρακος,138.25
EXM_08496,Χοληστερίνη,182.95
EXM_08497,Χοληστερίνη,246.35
EXM_08498,Χοληστερίνη,172.41
EXM_08499,Ακτινογραφία Θώρακος,249.55
EXM_08500,Ηλεκτροκαρδιογράφημα (ΗΚΓ),65.03
EXM_08501,Μαγνητική Τομογραφία (MRI),200.64
EXM_08502,Ηλεκτροκαρδιογράφημα (ΗΚΓ),199.47
EXM_08503,Ουρία,211.85
EXM_08504,Ουρία,176.8
EXM_08505,Υπέρηχος Κοιλίας,115.2
EXM_08506,Κρεατινίνη,145.56
EXM_08507,Ουρία,66.91
EXM_08508,PCR COVID-19,31.81
EXM_08509,Γενική Αίματος,69.65
EXM_08510,Γενική Αίματος,85.4
EXM_08511,Υπέρηχος Κοιλίας,90.55
EXM_08512,Χοληστερίνη,122.69
EXM_08513,Χοληστερίνη,101.23
EXM_08514,Σάκχαρο Αίματος,123.22
EXM_08515,Μαγνητική Τομογραφία (MRI),246.96
EXM_08516,Ουρία,133.57
EXM_08517,Χοληστερίνη,85.76
EXM_08518,Ουρία,177.76
EXM_08519,Κρεατινίνη,233.9
EXM_08520,Ηλεκτροκαρδιογράφημα (ΗΚΓ),96.05
EXM_08521,Υπέρηχος Κοιλίας,214.19
EXM_08522,Ακτινογραφία Θώρακος,173.08
EXM_08523,Γενική Αίματος,16.77
EXM_08524,Ακτινογραφία Θώρακος,172.59
EXM_08525,PCR COVID-19,239.83
EXM_08526,PCR COVID-19,103.05
EXM_08527,Χοληστερίνη,76.46
EXM_08528,Ακτινογραφία Θώρακος,69.67
EXM_08529,PCR COVID-19,203.54
EXM_08530,Γενική Αίματος,205.63
EXM_08531,PCR COVID-19,96.2
EXM_08532,Μαγνητική Τομογραφία (MRI),239.48
EXM_08533,Ακτινογραφία Θώρακος,62.97
EXM_08534,Ουρία,150.18
EXM_08535,Μαγνητική Τομογραφία (MRI),166.88
EXM_08536,Κρεατινίνη,220.34
EXM_08537,Ηλεκτροκαρδιογράφημα (ΗΚΓ),15.99
EXM_08538,Γενική Αίματος,248.68
EXM_08539,Σάκχαρο Αίματος,106.77
EXM_08540,Ηλεκτροκαρδιογράφημα (ΗΚΓ),234.29
EXM_08541,Υπέρηχος Κοιλίας,212.68
EXM_08542,Υπέρηχος Κοιλίας,48.58
EXM_08543,Μαγνητική Τομογραφία (MRI),171.54
EXM_08544,Ουρία,229.23
EXM_08545,PCR COVID-19,151.23
EXM_08546,Κρεατινίνη,36.77
EXM_08547,Ακτινογραφία Θώρακος,158.01
EXM_08548,Χοληστερίνη,202.19
EXM_08549,Ουρία,242.86
EXM_08550,Υπέρηχος Κοιλίας,186.8
EXM_08551,Μαγνητική Τομογραφία (MRI),179.78
EXM_08552,Μαγνητική Τομογραφία (MRI),76.37
EXM_08553,Ακτινογραφία Θώρακος,64.34
EXM_08554,Κρεατινίνη,39.74
EXM_08555,PCR COVID-19,183.03
EXM_08556,Μαγνητική Τομογραφία (MRI),166.81
EXM_08557,Κρεατινίνη,88.48
EXM_08558,Κρεατινίνη,97.29
EXM_08559,Υπέρηχος Κοιλίας,129.97
EXM_08560,Κρεατινίνη,207.61
EXM_08561,PCR COVID-19,22.5
EXM_08562,Ηλεκτροκαρδιογράφημα (ΗΚΓ),222.67
EXM_08563,PCR COVID-19,225.3
EXM_08564,Γενική Αίματος,85.46
EXM_08565,Ηλεκτροκαρδιογράφημα (ΗΚΓ),116.5
EXM_08566,Ουρία,69.39
EXM_08567,Χοληστερίνη,22.12
EXM_08568,Χοληστερίνη,243.13
EXM_08569,Μαγνητική Τομογραφία (MRI),82.85
EXM_08570,PCR COVID-19,147.55
EXM_08571,PCR COVID-19,97.79
EXM_08572,Σάκχαρο Αίματος,97.63
EXM_08573,Χοληστερίνη,43.13
EXM_08574,Ηλεκτροκαρδιογράφημα (ΗΚΓ),211.05
EXM_08575,Ουρία,154.73
EXM_08576,Κρεατινίνη,224.58
EXM_08577,Ηλεκτροκαρδιογράφημα (ΗΚΓ),37.08
EXM_08578,PCR COVID-19,21.98
EXM_08579,PCR COVID-19,20.83
EXM_08580,Υπέρηχος Κοιλίας,154.36
EXM_08581,Κρεατινίνη,143.77
EXM_08582,PCR COVID-19,231.54
EXM_08583,Χοληστερίνη,183.27
EXM_08584,Υπέρηχος Κοιλίας,43.37
EXM_08585,Ηλεκτροκαρδιογράφημα (ΗΚΓ),29.28
EXM_08586,Σάκχαρο Αίματος,241.32
EXM_08587,PCR COVID-19,237.17
EXM_08588,Γενική Αίματος,79.14
EXM_08589,Κρεατινίνη,129.76
EXM_08590,Ουρία,235.49
EXM_08591,Γενική Αίματος,161.54
EXM_08592,PCR COVID-19,244.76
EXM_08593,PCR COVID-19,170.37
EXM_08594,Μαγνητική Τομογραφία (MRI),248.47
EXM_08595,Ηλεκτροκαρδιογράφημα (ΗΚΓ),155.76
EXM_08596,Σάκχαρο Αίματος,179.31
EXM_08597,Ηλεκτροκαρδιογράφημα (ΗΚΓ),228.83
EXM_08598,Ηλεκτροκαρδιογράφημα (ΗΚΓ),93.21
EXM_08599,Ηλεκτροκαρδιογράφημα (ΗΚΓ),175.22
EXM_08600,Υπέρηχος Κοιλίας,156.28
EXM_08601,PCR COVID-19,53.17
EXM_08602,Ηλεκτροκαρδιογράφημα (ΗΚΓ),109.33
EXM_08603,Ηλεκτροκαρδιογράφημα (ΗΚΓ),66.58
EXM_08604,Ουρία,50.7
EXM_08605,Μαγνητική Τομογραφία (MRI),26.33
EXM_08606,Ακτινογραφία Θώρακος,92.38
EXM_08607,Χοληστερίνη,205.53
EXM_08608,Κρεατινίνη,183.2
EXM_08609,Μαγνητική Τομογραφία (MRI),224.79
EXM_08610,Κρεατινίνη,203.19
EXM_08611,Κρεατινίνη,201.81
EXM_08612,Μαγνητική Τομογραφία (MRI),91.09
EXM_08613,Κρεατινίνη,53.34
EXM_08614,Ουρία,136.49
EXM_08615,PCR COVID-19,78.5
EXM_08616,Κρεατινίνη,224.09
EXM_08617,Χοληστερίνη,153.89
EXM_08618,Ακτινογραφία Θώρακος,60.62
EXM_08619,Υπέρηχος Κοιλίας,117.81
EXM_08620,Κρεατινίνη,98.1
EXM_08621,Ουρία,233.67
EXM_08622,Μαγνητική Τομογραφία (MRI),76.2
EXM_08623,Ουρία,93.78
EXM_08624,Ουρία,187.93
EXM_08625,Ακτινογραφία Θώρακος,141.72
EXM_08626,Ηλεκτροκαρδιογράφημα (ΗΚΓ),156.48
EXM_08627,Ακτινογραφία Θώρακος,213.08
EXM_08628,Σάκχαρο Αίματος,210.83
EXM_08629,PCR COVID-19,236.07
EXM_08630,Σάκχαρο Αίματος,50.42
EXM_08631,Υπέρηχος Κοιλίας,181.11
EXM_08632,Ακτινογραφία Θώρακος,28.26
EXM_08633,PCR COVID-19,152.31
EXM_08634,Χοληστερίνη,240.15
EXM_08635,Ηλεκτροκαρδιογράφημα (ΗΚΓ),185.45
EXM_08636,Γενική Αίματος,152.93
EXM_08637,Μαγνητική Τομογραφία (MRI),35.76
EXM_08638,Ηλεκτροκαρδιογράφημα (ΗΚΓ),153.35
EXM_08639,Γενική Αίματος,163.29
EXM_08640,PCR COVID-19,173.85
EXM_08641,Γενική Αίματος,115.39
EXM_08642,Ηλεκτροκαρδιογράφημα (ΗΚΓ),174.99
EXM_08643,Κρεατινίνη,206.1
EXM_08644,Κρεατινίνη,37.0
EXM_08645,Σάκχαρο Αίματος,149.82
EXM_08646,Χοληστερίνη,176.53
EXM_08647,Σάκχαρο Αίματος,237.28
EXM_08648,Ακτινογραφία Θώρακος,160.14
EXM_08649,Σάκχαρο Αίματος,18.93
EXM_08650,Ουρία,177.88
EXM_08651,Σάκχαρο Αίματος,86.06
EXM_08652,Ουρία,240.7
EXM_08653,Γενική Αίματος,200.47
EXM_08654,Ουρία,38.91
EXM_08655,Υπέρηχος Κοιλίας,88.02
EXM_08656,Γενική Αίματος,78.38
EXM_08657,Υπέρηχος Κοιλίας,55.88
EXM_08658,Χοληστερίνη,179.68
EXM_08659,Χοληστερίνη,132.7
EXM_08660,Κρεατινίνη,194.64
EXM_08661,Γενική Αίματος,64.01
EXM_08662,Ουρία,208.59
EXM_08663,Ηλεκτροκαρδιογράφημα (ΗΚΓ),162.87
EXM_08664,Κρεατινίνη,99.16
EXM_08665,Μαγνητική Τομογραφία (MRI),86.65
EXM_08666,Υπέρηχος Κοιλίας,99.09
EXM_08667,Υπέρηχος Κοιλίας,178.28
EXM_08668,Κρεατινίνη,63.34
EXM_08669,Ηλεκτροκαρδιογράφημα (ΗΚΓ),244.14
EXM_08670,PCR COVID-19,28.47
EXM_08671,Υπέρηχος Κοιλίας,28.21
EXM_08672,Μαγνητική Τομογραφία (MRI),34.64
EXM_08673,Γενική Αίματος,196.64
EXM_08674,PCR COVID-19,69.11
EXM_08675,Υπέρηχος Κοιλίας,240.98
EXM_08676,Γενική Αίματος,162.28
EXM_08677,PCR COVID-19,202.68
EXM_08678,Κρεατινίνη,35.61
EXM_08679,Σάκχαρο Αίματος,219.32
EXM_08680,Υπέρηχος Κοιλίας,114.37
EXM_08681,Γενική Αίματος,171.18
EXM_08682,Χοληστερίνη,225.34
EXM_08683,PCR COVID-19,219.36
EXM_08684,Ηλεκτροκαρδιογράφημα (ΗΚΓ),108.36
EXM_08685,Ουρία,214.59
EXM_08686,Κρεατινίνη,144.53
EXM_08687,Ακτινογραφία Θώρακος,244.15
EXM_08688,Ουρία,214.47
EXM_08689,PCR COVID-19,191.99
EXM_08690,Μαγνητική Τομογραφία (MRI),163.17
EXM_08691,Γενική Αίματος,246.99
EXM_08692,PCR COVID-19,15.65
EXM_08693,Σάκχαρο Αίματος,41.49
EXM_08694,Σάκχαρο Αίματος,154.91
EXM_08695,Υπέρηχος Κοιλίας,103.08
EXM_08696,Σάκχαρο Αίματος,16.43
EXM_08697,Χοληστερίνη,110.44
EXM_08698,Γενική Αίματος,123.03
EXM_08699,Ουρία,97.69
EXM_08700,Μαγνητική Τομογραφία (MRI),86.2
EXM_08701,Γενική Αίματος,176.77
EXM_08702,Μαγνητική Τομογραφία (MRI),228.6
EXM_08703,Σάκχαρο Αίματος,58.07
EXM_08704,PCR COVID-19,42.74
EXM_08705,Σάκχαρο Αίματος,156.62
EXM_08706,Σάκχαρο Αίματος,112.72
EXM_08707,Γενική Αίματος,163.1
EXM_08708,Κρεατινίνη,162.31
EXM_08709,Υπέρηχος Κοιλίας,247.51
EXM_08710,Κρεατινίνη,70.08
EXM_08711,Σάκχαρο Αίματος,104.3
EXM_08712,Υπέρηχος Κοιλίας,223.31
EXM_08713,Γενική Αίματος,89.18
EXM_08714,Γενική Αίματος,130.91
EXM_08715,Ουρία,248.46
EXM_08716,Κρεατινίνη,175.11
EXM_08717,Ουρία,80.39
EXM_08718,Σάκχαρο Αίματος,237.82
EXM_08719,PCR COVID-19,173.26
EXM_08720,Μαγνητική Τομογραφία (MRI),240.84
EXM_08721,Χοληστερίνη,37.86
EXM_08722,Σάκχαρο Αίματος,32.68
EXM_08723,Σάκχαρο Αίματος,25.18
EXM_08724,Κρεατινίνη,152.1
EXM_08725,Ηλεκτροκαρδιογράφημα (ΗΚΓ),51.73
EXM_08726,Κρεατινίνη,136.81
EXM_08727,Ακτινογραφία Θώρακος,225.73
EXM_08728,Κρεατινίνη,195.97
EXM_08729,PCR COVID-19,53.28
EXM_08730,Γενική Αίματος,248.4
EXM_08731,Χοληστερίνη,108.78
EXM_08732,Σάκχαρο Αίματος,20.7
EXM_08733,Ηλεκτροκαρδιογράφημα (ΗΚΓ),101.67
EXM_08734,Κρεατινίνη,235.73
EXM_08735,Υπέρηχος Κοιλίας,87.49
EXM_08736,Γενική Αίματος,210.63
EXM_08737,Σάκχαρο Αίματος,129.4
EXM_08738,PCR COVID-19,169.64
EXM_08739,PCR COVID-19,91.58
EXM_08740,Σάκχαρο Αίματος,82.4
EXM_08741,Ακτινογραφία Θώρακος,216.84
EXM_08742,Χοληστερίνη,71.32
EXM_08743,PCR COVID-19,218.39
EXM_08744,PCR COVID-19,157.68
EXM_08745,Ηλεκτροκαρδιογράφημα (ΗΚΓ),141.72
EXM_08746,Ηλεκτροκαρδιογράφημα (ΗΚΓ),159.84
EXM_08747,Κρεατινίνη,119.72
EXM_08748,Ηλεκτροκαρδιογράφημα (ΗΚΓ),168.13
EXM_08749,Μαγνητική Τομογραφία (MRI),118.64
EXM_08750,Σάκχαρο Αίματος,218.28
EXM_08751,Ακτινογραφία Θώρακος,245.05
EXM_08752,Ουρία,97.64
EXM_08753,Ακτινογραφία Θώρακος,148.5
EXM_08754,Γενική Αίματος,120.02
EXM_08755,Κρεατινίνη,19.56
EXM_08756,Υπέρηχος Κοιλίας,229.29
EXM_08757,Γενική Αίματος,150.49
EXM_08758,PCR COVID-19,102.03
EXM_08759,Υπέρηχος Κοιλίας,153.63
EXM_08760,Υπέρηχος Κοιλίας,172.34
EXM_08761,Μαγνητική Τομογραφία (MRI),228.19
EXM_08762,Ηλεκτροκαρδιογράφημα (ΗΚΓ),146.32
EXM_08763,Ουρία,158.78
EXM_08764,PCR COVID-19,186.41
EXM_08765,Κρεατινίνη,148.18
EXM_08766,Ουρία,101.55
EXM_08767,Υπέρηχος Κοιλίας,184.61
EXM_08768,Ουρία,175.67
EXM_08769,Υπέρηχος Κοιλίας,215.31
EXM_08770,Κρεατινίνη,190.52
EXM_08771,Κρεατινίνη,223.38
EXM_08772,Κρεατινίνη,131.15
EXM_08773,Ακτινογραφία Θώρακος,111.55
EXM_08774,Σάκχαρο Αίματος,70.96
EXM_08775,PCR COVID-19,165.59
EXM_08776,Ουρία,85.96
EXM_08777,Ηλεκτροκαρδιογράφημα (ΗΚΓ),182.62
EXM_08778,Ουρία,124.63
EXM_08779,Ακτινογραφία Θώρακος,21.65
EXM_08780,Υπέρηχος Κοιλίας,191.92
EXM_08781,Υπέρηχος Κοιλίας,16.5
EXM_08782,PCR COVID-19,210.49
EXM_08783,Κρεατινίνη,244.76
EXM_08784,PCR COVID-19,29.16
EXM_08785,Υπέρηχος Κοιλίας,93.39
EXM_08786,Μαγνητική Τομογραφία (MRI),241.13
EXM_08787,Υπέρηχος Κοιλίας,63.61
EXM_08788,Ουρία,144.29
EXM_08789,PCR COVID-19,172.54
EXM_08790,Σάκχαρο Αίματος,20.51
EXM_08791,PCR COVID-19,172.96
EXM_08792,Ουρία,116.88
EXM_08793,Ακτινογραφία Θώρακος,131.74
EXM_08794,Σάκχαρο Αίματος,141.84
EXM_08795,Χοληστερίνη,37.42
EXM_08796,Σάκχαρο Αίματος,231.73
EXM_08797,Ουρία,33.03
EXM_08798,Χοληστερίνη,203.79
EXM_08799,Ουρία,24.34
EXM_08800,Γενική Αίματος,158.6
EXM_08801,Μαγνητική Τομογραφία (MRI),114.08
EXM_08802,Γενική Αίματος,172.06
EXM_08803,Υπέρηχος Κοιλίας,53.77
EXM_08804,Ακτινογραφία Θώρακος,85.53
EXM_08805,Ουρία,153.08
EXM_08806,Σάκχαρο Αίματος,196.11
EXM_08807,Ηλεκτροκαρδιογράφημα (ΗΚΓ),156.48
EXM_08808,Σάκχαρο Αίματος,196.43
EXM_08809,Υπέρηχος Κοιλίας,159.93
EXM_08810,Υπέρηχος Κοιλίας,72.78
EXM_08811,Μαγνητική Τομογραφία (MRI),149.66
EXM_08812,Χοληστερίνη,190.43
EXM_08813,Χοληστερίνη,163.98
EXM_08814,PCR COVID-19,111.78
EXM_08815,Ουρία,203.5
EXM_08816,Γενική Αίματος,177.5
EXM_08817,Χοληστερίνη,100.6
EXM_08818,PCR COVID-19,84.74
EXM_08819,Ακτινογραφία Θώρακος,191.99
EXM_08820,Μαγνητική Τομογραφία (MRI),162.21
EXM_08821,Σάκχαρο Αίματος,31.77
EXM_08822,Ουρία,228.08
EXM_08823,Σάκχαρο Αίματος,15.15
EXM_08824,Υπέρηχος Κοιλίας,77.46
EXM_08825,Μαγνητική Τομογραφία (MRI),61.13
EXM_08826,Ακτινογραφία Θώρακος,196.01
EXM_08827,Γενική Αίματος,74.79
EXM_08828,Χοληστερίνη,227.47
EXM_08829,PCR COVID-19,43.83
EXM_08830,Κρεατινίνη,184.88
EXM_08831,Ακτινογραφία Θώρακος,34.21
EXM_08832,Γενική Αίματος,164.43
EXM_08833,Σάκχαρο Αίματος,58.41
EXM_08834,Σάκχαρο Αίματος,44.19
EXM_08835,Σάκχαρο Αίματος,152.24
EXM_08836,Ηλεκτροκαρδιογράφημα (ΗΚΓ),146.53
EXM_08837,Γενική Αίματος,202.08
EXM_08838,Χοληστερίνη,42.13
EXM_08839,Ουρία,222.36
EXM_08840,Γενική Αίματος,15.64
EXM_08841,Ακτινογραφία Θώρακος,160.73
EXM_08842,Μαγνητική Τομογραφία (MRI),46.4
EXM_08843,Γενική Αίματος,206.17
EXM_08844,Υπέρηχος Κοιλίας,202.34
EXM_08845,Υπέρηχος Κοιλίας,163.54
EXM_08846,Κρεατινίνη,211.44
EXM_08847,Υπέρηχος Κοιλίας,64.12
EXM_08848,Χοληστερίνη,217.3
EXM_08849,Ακτινογραφία Θώρακος,100.88
EXM_08850,Ηλεκτροκαρδιογράφημα (ΗΚΓ),127.15
EXM_08851,Γενική Αίματος,227.87
EXM_08852,PCR COVID-19,195.5
EXM_08853,Υπέρηχος Κοιλίας,237.23
EXM_08854,Μαγνητική Τομογραφία (MRI),148.83
EXM_08855,PCR COVID-19,134.95
EXM_08856,Μαγνητική Τομογραφία (MRI),179.4
EXM_08857,Μαγνητική Τομογραφία (MRI),181.81
EXM_08858,Ουρία,73.05
EXM_08859,Ουρία,121.22
EXM_08860,Γενική Αίματος,38.32
EXM_08861,Σάκχαρο Αίματος,179.09
EXM_08862,Κρεατινίνη,219.22
EXM_08863,Γενική Αίματος,212.61
EXM_08864,Χοληστερίνη,211.32
EXM_08865,Γενική Αίματος,212.96
EXM_08866,Σάκχαρο Αίματος,162.02
EXM_08867,Μαγνητική Τομογραφία (MRI),28.9
EXM_08868,Ακτινογραφία Θώρακος,190.14
EXM_08869,Κρεατινίνη,124.26
EXM_08870,PCR COVID-19,142.56
EXM_08871,PCR COVID-19,196.27
EXM_08872,Γενική Αίματος,213.7
EXM_08873,Ουρία,52.92
EXM_08874,PCR COVID-19,86.72
EXM_08875,Ουρία,202.92
EXM_08876,Χοληστερίνη,111.27
EXM_08877,Κρεατινίνη,115.5
EXM_08878,Γενική Αίματος,35.22
EXM_08879,Σάκχαρο Αίματος,218.59
EXM_08880,PCR COVID-19,241.71
EXM_08881,Κρεατινίνη,205.17
EXM_08882,Γενική Αίματος,181.28
EXM_08883,Σάκχαρο Αίματος,80.18
EXM_08884,Χοληστερίνη,81.95
EXM_08885,Κρεατινίνη,193.6
EXM_08886,Ουρία,239.96
EXM_08887,Σάκχαρο Αίματος,62.76
EXM_08888,Γενική Αίματος,31.41
EXM_08889,Κρεατινίνη,192.66
EXM_08890,Ακτινογραφία Θώρακος,96.14
EXM_08891,PCR COVID-19,231.78
EXM_08892,Ακτινογραφία Θώρακος,129.95
EXM_08893,Ακτινογραφία Θώρακος,223.84
EXM_08894,Χοληστερίνη,103.07
EXM_08895,Χοληστερίνη,236.11
EXM_08896,Γενική Αίματος,72.44
EXM_08897,PCR COVID-19,90.59
EXM_08898,Σάκχαρο Αίματος,196.68
EXM_08899,Κρεατινίνη,130.42
EXM_08900,Γενική Αίματος,246.92
EXM_08901,Ακτινογραφία Θώρακος,172.01
EXM_08902,Ακτινογραφία Θώρακος,103.86
EXM_08903,Μαγνητική Τομογραφία (MRI),108.12
EXM_08904,Χοληστερίνη,18.9
EXM_08905,Σάκχαρο Αίματος,214.19
EXM_08906,Γενική Αίματος,108.19
EXM_08907,Ακτινογραφία Θώρακος,124.1
EXM_08908,Ηλεκτροκαρδιογράφημα (ΗΚΓ),229.69
EXM_08909,Υπέρηχος Κοιλίας,236.77
EXM_08910,Σάκχαρο Αίματος,54.02
EXM_08911,Γενική Αίματος,216.87
EXM_08912,PCR COVID-19,201.21
EXM_08913,Υπέρηχος Κοιλίας,182.64
EXM_08914,PCR COVID-19,205.5
EXM_08915,Ακτινογραφία Θώρακος,136.21
EXM_08916,Ουρία,18.84
EXM_08917,Υπέρηχος Κοιλίας,135.99
EXM_08918,Ακτινογραφία Θώρακος,233.93
EXM_08919,Χοληστερίνη,176.86
EXM_08920,Ουρία,16.53
EXM_08921,Ακτινογραφία Θώρακος,201.72
EXM_08922,Χοληστερίνη,20.81
EXM_08923,PCR COVID-19,109.78
EXM_08924,Ακτινογραφία Θώρακος,64.67
EXM_08925,Γενική Αίματος,127.82
EXM_08926,Χοληστερίνη,84.44
EXM_08927,Υπέρηχος Κοιλίας,222.77
EXM_08928,Ηλεκτροκαρδιογράφημα (ΗΚΓ),99.33
EXM_08929,Σάκχαρο Αίματος,167.05
EXM_08930,Σάκχαρο Αίματος,207.79
EXM_08931,Ουρία,176.88
EXM_08932,Κρεατινίνη,215.34
EXM_08933,Υπέρηχος Κοιλίας,231.84
EXM_08934,Μαγνητική Τομογραφία (MRI),200.59
EXM_08935,Χοληστερίνη,244.53
EXM_08936,Σάκχαρο Αίματος,54.56
EXM_08937,Μαγνητική Τομογραφία (MRI),90.5
EXM_08938,Ηλεκτροκαρδιογράφημα (ΗΚΓ),65.42
EXM_08939,Υπέρηχος Κοιλίας,47.77
EXM_08940,Υπέρηχος Κοιλίας,194.7
EXM_08941,Ηλεκτροκαρδιογράφημα (ΗΚΓ),238.79
EXM_08942,PCR COVID-19,232.54
EXM_08943,PCR COVID-19,202.04
EXM_08944,Γενική Αίματος,235.57
EXM_08945,Υπέρηχος Κοιλίας,81.63
EXM_08946,Γενική Αίματος,29.46
EXM_08947,PCR COVID-19,131.24
EXM_08948,Ακτινογραφία Θώρακος,49.68
EXM_08949,Χοληστερίνη,228.73
EXM_08950,Υπέρηχος Κοιλίας,210.62
EXM_08951,Γενική Αίματος,153.33
EXM_08952,PCR COVID-19,182.93
EXM_08953,Ακτινογραφία Θώρακος,184.5
EXM_08954,Υπέρηχος Κοιλίας,232.36
EXM_08955,Υπέρηχος Κοιλίας,111.52
EXM_08956,Υπέρηχος Κοιλίας,220.08
EXM_08957,Χοληστερίνη,172.45
EXM_08958,Υπέρηχος Κοιλίας,37.2
EXM_08959,Υπέρηχος Κοιλίας,48.21
EXM_08960,Ουρία,66.03
EXM_08961,Γενική Αίματος,154.93
EXM_08962,Χοληστερίνη,225.27
EXM_08963,Χοληστερίνη,126.84
EXM_08964,Γενική Αίματος,123.93
EXM_08965,Κρεατινίνη,90.66
EXM_08966,Ουρία,176.23
EXM_08967,Ουρία,240.21
EXM_08968,Γενική Αίματος,169.79
EXM_08969,Μαγνητική Τομογραφία (MRI),193.74
EXM_08970,Γενική Αίματος,70.05
EXM_08971,Χοληστερίνη,132.07
EXM_08972,Χοληστερίνη,56.3
EXM_08973,Ουρία,148.56
EXM_08974,Σάκχαρο Αίματος,64.53
EXM_08975,Ουρία,79.54
EXM_08976,Ουρία,156.7
EXM_08977,Γενική Αίματος,161.75
EXM_08978,Χοληστερίνη,226.13
EXM_08979,Χοληστερίνη,125.76
EXM_08980,Γενική Αίματος,151.25
EXM_08981,Χοληστερίνη,127.11
EXM_08982,Χοληστερίνη,170.27
EXM_08983,Γενική Αίματος,156.29
EXM_08984,PCR COVID-19,246.53
EXM_08985,Κρεατινίνη,148.23
EXM_08986,Ουρία,159.83
EXM_08987,Χοληστερίνη,124.08
EXM_08988,Ουρία,248.53
EXM_08989,Υπέρηχος Κοιλίας,215.35
EXM_08990,Χοληστερίνη,175.14
EXM_08991,PCR COVID-19,248.13
EXM_08992,Ουρία,240.86
EXM_08993,Μαγνητική Τομογραφία (MRI),198.2
EXM_08994,Κρεατινίνη,228.37
EXM_08995,Χοληστερίνη,101.81
EXM_08996,Υπέρηχος Κοιλίας,122.13
EXM_08997,Ακτινογραφία Θώρακος,249.62
EXM_08998,PCR COVID-19,144.55
EXM_08999,PCR COVID-19,151.96
EXM_09000,PCR COVID-19,60.04
EXM_09001,Γενική Αίματος,61.93
EXM_09002,Υπέρηχος Κοιλίας,90.83
EXM_09003,Χοληστερίνη,19.4
EXM_09004,Υπέρηχος Κοιλίας,28.85
EXM_09005,Ουρία,209.94
EXM_09006,Ηλεκτροκαρδιογράφημα (ΗΚΓ),32.37
EXM_09007,Χοληστερίνη,244.38
EXM_09008,Κρεατινίνη,157.99
EXM_09009,PCR COVID-19,119.61
EXM_09010,Χοληστερίνη,157.26
EXM_09011,PCR COVID-19,144.07
EXM_09012,Ηλεκτροκαρδιογράφημα (ΗΚΓ),161.7
EXM_09013,Μαγνητική Τομογραφία (MRI),97.81
EXM_09014,Γενική Αίματος,75.51
EXM_09015,Κρεατινίνη,174.13
EXM_09016,Μαγνητική Τομογραφία (MRI),218.98
EXM_09017,Γενική Αίματος,244.6
EXM_09018,Χοληστερίνη,165.92
EXM_09019,Μαγνητική Τομογραφία (MRI),243.96
EXM_09020,Γενική Αίματος,90.99
EXM_09021,Χοληστερίνη,57.46
EXM_09022,Ουρία,151.03
EXM_09023,Ηλεκτροκαρδιογράφημα (ΗΚΓ),132.6
EXM_09024,Σάκχαρο Αίματος,61.13
EXM_09025,Ουρία,142.13
EXM_09026,PCR COVID-19,24.3
EXM_09027,Ουρία,181.94
EXM_09028,Χοληστερίνη,107.43
EXM_09029,Ηλεκτροκαρδιογράφημα (ΗΚΓ),42.11
EXM_09030,Ηλεκτροκαρδιογράφημα (ΗΚΓ),72.43
EXM_09031,Ηλεκτροκαρδιογράφημα (ΗΚΓ),218.08
EXM_09032,Ακτινογραφία Θώρακος,173.48
EXM_09033,Ουρία,170.03
EXM_09034,Χοληστερίνη,204.12
EXM_09035,Υπέρηχος Κοιλίας,235.57
EXM_09036,Χοληστερίνη,174.11
EXM_09037,Ουρία,186.78
EXM_09038,Ουρία,220.58
EXM_09039,Υπέρηχος Κοιλίας,21.87
EXM_09040,Υπέρηχος Κοιλίας,107.13
EXM_09041,Υπέρηχος Κοιλίας,99.54
EXM_09042,Μαγνητική Τομογραφία (MRI),137.76
EXM_09043,PCR COVID-19,110.17
EXM_09044,Ηλεκτροκαρδιογράφημα (ΗΚΓ),158.6
EXM_09045,Μαγνητική Τομογραφία (MRI),74.14
EXM_09046,PCR COVID-19,206.09
EXM_09047,Σάκχαρο Αίματος,162.24
EXM_09048,Ηλεκτροκαρδιογράφημα (ΗΚΓ),159.45
EXM_09049,Γενική Αίματος,243.35
EXM_09050,Κρεατινίνη,76.42
EXM_09051,Ηλεκτροκαρδιογράφημα (ΗΚΓ),196.28
EXM_09052,Γενική Αίματος,214.04
EXM_09053,Υπέρηχος Κοιλίας,194.31
EXM_09054,Υπέρηχος Κοιλίας,175.79
EXM_09055,PCR COVID-19,30.32
EXM_09056,Γενική Αίματος,95.61
EXM_09057,Γενική Αίματος,146.94
EXM_09058,Σάκχαρο Αίματος,77.08
EXM_09059,Ακτινογραφία Θώρακος,50.08
